{'Accuracy': 0.7037807839056538, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:60', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7103711411723899, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:61', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7075962539021852, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:62', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.706902532084634, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:63', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7089836975372875, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:64', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:65', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7051682275407561, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:66', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.704474505723205, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:67', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7075962539021852, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:68', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7041276448144295, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:69', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7037807839056538, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:70', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7096774193548387, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:71', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7096774193548387, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:72', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7065556711758585, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:73', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.7096774193548387, 'Model_Name': 'KNN', 'HyperParameters': 'n_neighbor:2, metric:manhattan, n_feature:74', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
