{'Accuracy': 0.6214800261951539, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6175507531106745, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6214800261951539, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6182056319580878, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6299934512115258, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6162409954158481, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6162409954158481, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6195153896529142, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6234446627373936, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6319580877537656, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6247544204322201, 'Model_Name': 'RandomForest', 'HyperParameters': 'max_depth:30, random_state = 1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
